,items,total_sale,Categories
160,BLACK FOREST CREPES           ,1256.0800000000002,FOOD
98,GREAT LAKES CREAM                   ,1256.0800000000002,BEVERAGE
125,BANANA WALNUT MUFFIN          ,1225.09,FOOD
228,MAGGI NDL BOLOGNESE           ,1212.75,FOOD
116,APRICOT FLAVOUR SINGLE        ,1188.0,TOBACCO
169,COLUMBIAN SUPREMO (AULAIT)    ,1169.4299999999998,BEVERAGE
129,MARRAKESH HOOKAH SINGLE       ,1168.1999999999998,TOBACCO
154,THANK GOD ITS A SUNDAE        ,1150.87,FOOD
234,HAWAIIAN KONA FANCY (AU LAIT) ,1144.7,BEVERAGE
17,BRAZIL BOURBONSANTOS (AULAIT) ,1138.48,BEVERAGE
280,WHITE SANGRIA (GLS)áááá áááááá,1102.5,LIQUOR
164,SANDASS                       ,1100.25,MERCHANDISE
278,WAIST WATCHING OMELETTE       ,1089.04,FOOD
58,CHUNKY CHOCO CHIP COOKIES     ,1020.9099999999996,FOOD
235,VLN SAUV BLANC (BTL)          ,1008.0,WINES
277,VANILLA LITE SHAKE            ,996.1799999999998,BEVERAGE
155,HOEGAARDEN (GLS)              ,984.38,LIQUOR
173,BUNUELOS DE CHIRIZO           ,940.52,FOOD
95,GREAT LAKES-JAVA BLEND (REG)        ,940.4899999999999,BEVERAGE
93,ADD ON S                      ,909.49,MISC
120,KENYA AA (AULAIT)             ,897.2,BEVERAGE
270,SWEET MELON FLAVOUR SINGLE    ,891.0,FOOD
69,APPLE CINNAMON MUFFIN         ,884.7799999999997,FOOD
230,INDIAN PEABERRY (AULAIT)      ,866.25,BEVERAGE
276,VANILLA ICECREAM              ,853.2399999999999,FOOD
127,OATMEAL AND RAISIN COOKIES    ,816.73,FOOD
177,BEER TANK 3.5 LITRE           ,787.5,LIQUOR
197,CREPES WITH POTATO LAKTES     ,767.24,FOOD
237,BODHI PLANTER CUM CANDLE STAND,730.13,MERCHANDISE
250,RASPBERRY LITE SHAKE          ,711.55,BEVERAGE
248,POLLO PELOTA CON TAMATE SALSA ,705.39,FOOD
269,SUNNY SIDE UP/BULLS EYE       ,705.3699999999999,FOOD
200,ENG BREAKFAST TEA             ,680.61,BEVERAGE
92,ADD HERB ROAST CHICKEN        ,631.2,MISC
241,PLAIN  JANE (STRAWBERRY)      ,611.63,MISC
156,CLASSIC MILD                  ,597.6,TOBACCO
252,PEACH FLAVOUR SINGLE          ,594.0,TOBACCO
183,ORANGE FLAVOUR SINGLE         ,594.0,TOBACCO
273,THE CHOC FATHER               ,594.0,FOOD
178,C C C ROMA TOMATO SALAD       ,594.0,FOOD
131,HOUSEBLEND FULLCITY (AU LAIT) ,569.25,BEVERAGE
57,HERBED GARDEN PIE             ,569.24,FOOD
139,LOTUS TEA LIGHT HOLDER        ,560.25,MERCHANDISE
